type,signed_diff
FB2M_a,0.092550206584669
FB2F_b,0.08265495778812976
FB5J,0.06820730330374093
FB2C,0.06476323721176838
FB1H(NO2/3),0.06334975197616041
FB2F_d,0.06161646948546806
FB4D_c,0.06082225611422104
FB5B,0.05722521519420287
FB6P,0.05547672220215143
FB2M_b,0.04839661989199478
FB4A_b,0.04595833279860337
FB2B_a,0.045380609610801474
FB4D_b,0.04332393230984176
FB5AB,0.04242894759582689
FB2J_c,0.0418248204091491
FB2J_a,0.04156895610766498
FB2L,0.041063714045247134
FB5K,0.03984524513370652
FB5Y_b,0.03978221426144468
FB2F_a,0.03876207711378037
FB4X,0.037283962680737436
FB2F_c,0.036583144946514004
FB6S,0.03380655237091745
FB5Y_a,0.029520304322478572
FB4Q_a,0.028015447558253637
FB4J,0.027417652748979414
FB6Q,0.02252508080649767
FB4Q_c,0.02164266279790973
FB2G_a,0.021593705767523338
FB5P,0.021004243568327054
FB5W_a,0.019269167699828685
FB6B,0.018237801599745015
FB2B_b,0.018011884306935583
FB7M,0.01677798877230982
FB1G,0.016594055511569145
FB6R,0.015539178198395743
FB4I,0.01421590799182287
FB6X,0.013111672732529854
FB4F_b,0.012915270833254033
FB8F_a,0.0122979786034528
FB5Z,0.012198015290954059
FB2A,0.012183907065030327
FB2I_a,0.011753063216854218
FB4D_a,0.009863755929717586
FB7F,0.00977854687847931
FB5G_c,0.008947140003381463
FB5G_a,0.008511570165695776
FB2K,0.007701758751998491
FB5A,0.007625500329741002
FB6A_c,0.006485792431289612
FB5F,0.005839529471471193
FB2D,0.005314802920774395
FB5G_b,0.004167309075585571
FB3C,0.00390886838495671
FB1J,0.0039025253995790773
FB9A,0.0032484619250673563
FB5I,0.002977770083524022
FB6A_a,0.0028830962536437114
FB5Q,0.002437984357743856
FB8D,0.0024007848863323985
FB3A,0.0011703262733099764
FB6C_a,0.0010564906034556396
FB9C,0.001053229456292612
FB9B_a,0.0005625018750146876
FB3E,0.0005420896320143607
FB1E_a,0.0002622779660586905
FB3D,0.00024586628868497606
FB1I,0.00022563212854347404
FB2I_b,8.75439309861916e-05
FB7B,2.8987697744637417e-05
FB5U,0.0
FB9B_b,0.0
FB5S,0.0
FB7D_b,0.0
FB9B_c,0.0
FB5R,0.0
FB7D_a,0.0
FB6J,0.0
FB6L,0.0
FB4Z_c,0.0
FB4Z_b,0.0
FB4Z_a,0.0
FB9B_e,0.0
FB6C_b,-7.853421007621934e-05
FB2H_b,-8.934851214035394e-05
FB7J,-0.0004015635215824162
FB4G,-0.0007571228373071054
FB1F,-0.0009542017268442667
FB1C,-0.0009754010959826375
FB8E,-0.0012734946469763534
FB2J_b,-0.001372276435208329
FB1B,-0.001619526728235845
FB1D,-0.0020519204584259904
FB6D,-0.002224641495626587
FB7L,-0.0032646313988265213
FB6T,-0.003416892980536426
FB7A,-0.003556545981084588
FB5E,-0.004311567459295175
FB6G,-0.00439637003879663
FB5W_b,-0.004487067753640027
FB6I,-0.004732334301946636
FB8H,-0.004775558805842487
FB4P_b,-0.004827701915162668
FB8B,-0.004960893973577686
FB5T,-0.005810968036051285
FB8C,-0.007534902074380395
FB5O,-0.0076908918625781374
FB8F_b,-0.008638605288235426
FB4B,-0.008684498134900414
FB2G_b,-0.008740286726888126
FB4N,-0.00886416369659629
FB6Z,-0.008981475623941134
FB8G,-0.009123378093203868
FB5C,-0.010000555241249116
FB6A_b,-0.011636656398161922
FB5D,-0.013201820839696433
FB7H,-0.013259318657846663
FB9B_d,-0.01493057684400531
FB4H,-0.015033328511773063
FB8A,-0.015456367486511732
FB4E_c,-0.016323392711787385
FB7K,-0.016396008774369638
FB4C,-0.016584374769738727
FB8I,-0.017332125133888633
FB7C,-0.01743640668939894
FB4O,-0.01745404200706372
FB6Y,-0.017729516989551306
FB6V,-0.017836649609202223
FB4L,-0.01783869425042991
FB1A,-0.019306963597067274
FB2E,-0.019649976694394673
FB1E_b,-0.020688761819030625
FB2H_a,-0.021205281302276776
FB5V_c,-0.021587550448623212
FB4F_a,-0.022734354011274334
FB4P_c,-0.022827577046292524
FB4R,-0.023723482798654834
FB7E,-0.02470896164513657
FB5V_a,-0.026876962339567233
FB4Q_b,-0.027075323327969924
FB4E_a,-0.0277941917951265
FB7G,-0.028507987172308583
FB5N,-0.028719263455740482
FB6E,-0.030130533116678175
FB6N,-0.03109483173483096
FB6K,-0.033070566801889634
FB7I,-0.03314333120297109
FB6F,-0.03375889076529244
FB4A_a,-0.03402373943585862
FB4F_c,-0.03498452664545037
FB6W,-0.03540766004301901
FB5M,-0.03548596033006256
FB4E_b,-0.039635461286880655
FB5X,-0.040295927442470764
FB4Y,-0.041048802478333396
FB5AA,-0.042059403715351835
FB4M(PPM3-FB3/4-NO-DAN),-0.042953016520446786
FB6M,-0.04406278294695536
FB6U,-0.04460850857231091
FB5L,-0.04705222368673044
FB4P_a,-0.050330458020250435
FB6O,-0.05111463612149433
FB5V_b,-0.055077982760027316
FB6H,-0.07041904499496021
FB5H,-0.09386010386142311
FB4K,-0.10249035153729755
